Balloon,Size,Distance,Radius,Area
1,50,5,7.5,176.7145868
2,50,5,8.2,211.24069
3,50,5,7.7,186.2650284
4,50,5,9,254.4690049
5,50,5,8.6,232.3521927
6,50,8,14,615.7521601
7,50,8,12.4,483.0512864
8,50,8,13.7,589.6455252
9,50,8,16.8,886.6831105
10,50,8,15.6,764.5379882
11,50,11,57,10207.03453
12,50,11,54.3,9262.954523
13,50,11,52.1,8527.570515
14,50,11,51.9,8462.225388
15,50,11,50.4,7980.147995
16,100,5,15.5,754.767635
17,100,5,14.4,651.4406526
18,100,5,14,615.7521601
19,100,5,16.2,824.479576
20,100,5,14.3,642.4242817
21,100,8,24.1,1824.668429
22,100,8,21.4,1438.723772
23,100,8,22,1520.530844
24,100,8,23.6,1749.741444
25,100,8,22.7,1618.831278
26,100,11,58.6,10788.10351
27,100,11,54,9160.884178
28,100,11,60.2,11385.25744
29,100,11,57.4,10350.79381
30,100,11,59.6,11159.43976
31,150,5,21.5,1452.201204
32,150,5,22.4,1576.32553
33,150,5,24.3,1855.079046
34,150,5,23,1661.902514
35,150,5,24.8,1932.205146
36,150,8,45.6,6532.5021
37,150,8,47.2,6998.965777
38,150,8,46,6647.610055
39,150,8,48.3,7328.990086
40,150,8,45.2,6418.399455
41,150,11,64.2,12948.51394
42,150,11,65,13273.22896
43,150,11,63.7,12747.60909
44,150,11,67.8,14441.39877
45,150,11,66.2,13767.84131
