Date,Season,Commodity,Price
3-Jun-19,SPRING,HRW,5.21
3-Jun-19,SPRING,DNS,5.4
4-Jun-19,SPRING,HRW,5.03
4-Jun-19,SPRING,DNS,5.37
5-Jun-19,SPRING,HRW,4.8
5-Jun-19,SPRING,DNS,5.24
6-Jun-19,SPRING,HRW,4.9
6-Jun-19,SPRING,DNS,5.36
7-Jun-19,SPRING,HRW,4.84
7-Jun-19,SPRING,DNS,5.35
10-Jun-19,SPRING,HRW,4.88
10-Jun-19,SPRING,DNS,5.35
11-Jun-19,SPRING,HRW,4.92
11-Jun-19,SPRING,DNS,5.36
12-Jun-19,SPRING,HRW,4.97
12-Jun-19,SPRING,DNS,5.31
13-Jun-19,SPRING,HRW,5.03
13-Jun-19,SPRING,DNS,5.33
14-Jun-19,SPRING,HRW,5.01
14-Jun-19,SPRING,DNS,5.3
17-Jun-19,SPRING,HRW,5
17-Jun-19,SPRING,DNS,5.28
18-Jun-19,SPRING,HRW,4.9
18-Jun-19,SPRING,DNS,5.2
19-Jun-19,SPRING,HRW,4.82
19-Jun-19,SPRING,DNS,5.1
20-Jun-19,SPRING,HRW,4.85
20-Jun-19,SPRING,DNS,5.07
21-Jun-19,SUMMER,HRW,4.77
21-Jun-19,SUMMER,DNS,5.06
24-Jun-19,SUMMER,HRW,4.9
24-Jun-19,SUMMER,DNS,5.15
25-Jun-19,SUMMER,HRW,4.9
25-Jun-19,SUMMER,DNS,5.19
26-Jun-19,SUMMER,HRW,4.94
26-Jun-19,SUMMER,DNS,5.21
27-Jun-19,SUMMER,HRW,4.93
27-Jun-19,SUMMER,DNS,5.23
28-Jun-19,SUMMER,HRW,4.73
28-Jun-19,SUMMER,DNS,5.16
1-Jul-19,SUMMER,HRW,4.56
1-Jul-19,SUMMER,DNS,5.06
2-Jul-19,SUMMER,HRW,4.44
2-Jul-19,SUMMER,DNS,4.98
3-Jul-19,SUMMER,HRW,4.55
3-Jul-19,SUMMER,DNS,5.02
5-Jul-19,SUMMER,HRW,4.57
5-Jul-19,SUMMER,DNS,4.95
8-Jul-19,SUMMER,HRW,4.59
8-Jul-19,SUMMER,DNS,4.94
9-Jul-19,SUMMER,HRW,4.56
9-Jul-19,SUMMER,DNS,4.88
10-Jul-19,SUMMER,HRW,4.58
10-Jul-19,SUMMER,DNS,4.9
11-Jul-19,SUMMER,HRW,4.78
11-Jul-19,SUMMER,DNS,5.03
12-Jul-19,SUMMER,HRW,4.84
12-Jul-19,SUMMER,DNS,5.04
15-Jul-19,SUMMER,HRW,4.66
15-Jul-19,SUMMER,DNS,4.94
16-Jul-19,SUMMER,HRW,4.63
16-Jul-19,SUMMER,DNS,4.92
17-Jul-19,SUMMER,HRW,4.59
17-Jul-19,SUMMER,DNS,4.91
19-Jul-19,SUMMER,HRW,4.57
19-Jul-19,SUMMER,DNS,4.91
22-Jul-19,SUMMER,HRW,4.46
22-Jul-19,SUMMER,DNS,4.83
23-Jul-19,SUMMER,HRW,4.48
23-Jul-19,SUMMER,DNS,4.82
24-Jul-19,SUMMER,HRW,4.56
24-Jul-19,SUMMER,DNS,4.84
25-Jul-19,SUMMER,HRW,4.54
25-Jul-19,SUMMER,DNS,4.85
26-Jul-19,SUMMER,HRW,4.49
26-Jul-19,SUMMER,DNS,4.86
29-Jul-19,SUMMER,HRW,4.53
29-Jul-19,SUMMER,DNS,4.94
30-Jul-19,SUMMER,HRW,4.5
30-Jul-19,SUMMER,DNS,4.9
31-Jul-19,SUMMER,HRW,4.39
31-Jul-19,SUMMER,DNS,4.81
1-Aug-19,SUMMER,HRW,4.15
1-Aug-19,SUMMER,DNS,4.82
2-Aug-19,SUMMER,HRW,4.21
2-Aug-19,SUMMER,DNS,4.85
5-Aug-19,SUMMER,HRW,4.26
5-Aug-19,SUMMER,DNS,4.87
6-Aug-19,SUMMER,HRW,4.18
6-Aug-19,SUMMER,DNS,4.85
7-Aug-19,SUMMER,HRW,4.17
7-Aug-19,SUMMER,DNS,4.84
8-Aug-19,SUMMER,HRW,4.18
8-Aug-19,SUMMER,DNS,4.83
9-Aug-19,SUMMER,HRW,4.17
9-Aug-19,SUMMER,DNS,4.82
12-Aug-19,SUMMER,HRW,3.92
12-Aug-19,SUMMER,DNS,4.72
13-Aug-19,SUMMER,HRW,3.83
13-Aug-19,SUMMER,DNS,4.66
14-Aug-19,SUMMER,HRW,3.84
14-Aug-19,SUMMER,DNS,4.68
