Year,Mileage,Price,Color
2013,116250,9969,White
2019,44872,17899,
2013,103832,10329,Gray
2016,75837,18000,Pearl
2019,52885,17361,
2019,55657,17200,
2018,47225,17630,
2019,44870,17899,
2018,92307,14421,
2019,51237,17469,
2018,57782,16609,
2019,59256,16931,White
2020,5159,21998,White
2021,4201,25403,White
2020,3971,22440,Black
2019,45520,17845,Silver
2019,45432,17845,
2019,48972,17630,White
2018,53566,17039,Black
2019,52034,17415,Gray
2010,154429,5000,White
2020,28269,22157,White
2011,153245,7000,White
2013,136411,8314,
2017,40933,20599,Gray
2018,48299,17099,Silver
2020,22748,18685,Silver
2018,36829,20103,Black
2016,55387,13660,Black
2017,33359,19797,White
2018,65523,15495,White
2018,17813,25490,Blue
2019,50323,17523,White
2018,92605,14450,Gray
2019,46640,17791,Black
2018,56359,16770,Silver
2020,7979,25900,Red
2013,133697,7590,Silver
2012,90252,8566,Silver
2021,2,25874,Red
2021,4201,25403,White
2021,10,25733,Silver
2016,55387,13660,Black
2020,3971,22440,Black
2016,47575,13995,Pearl
2011,138000,4000,Blue
2021,2,31375,Silver
2019,20977,26000,Silver
2016,66885,15999,Maroon
2017,35788,13500,Gray
2020,3971,22440,Black
2021,0,30233,White
2017,44958,14995,Blue
2018,70528,17995,White
2011,125185,8499,Red
2020,5159,21998,White
2021,4201,25403,White
2018,36829,20103,Black
2017,52001,16255,Silver
2018,34797,23957,White
2017,40611,19844,Blue
2021,3527,18000,Red
2010,126730,5850,Black
2019,22395,22200,White
2018,92188,12995,Black
2017,55000,15000,Gray
2018,34976,17942,Red
2014,35685,15426,Silver
2016,55387,13660,Black
2013,151697,7890,Blue
2020,41574,22999,Silver
2020,6495,15500,Silver
2012,91522,8999,Silver
2017,21984,14600,Gray
2019,35069,17400,White
2015,78819,13777,Beige
2019,56252,17146,
2019,50355,17523,
2020,19834,22899,White
2016,47760,18000,Blue
2010,147056,6477,Silver
2011,125185,8499,Red
2015,65923,8500,Purple
2013,68914,12500,Black
2014,90337,8499,Blue
2011,108586,7649,White
2017,57611,21995,White
2015,82588,8000,Red
2020,3545,24851,Blue
2020,3,20535,Red
2016,41140,20995,Red
2020,5159,21998,White
2019,30389,18545,Black
2017,67881,21900,White
2018,36829,20103,Black
2017,50738,12371,Gray
2017,45630,19250,White
2020,35340,20888,Silver
2015,86965,13244,Silver
2013,104053,9995,Silver
2017,102716,12000,White
2018,13255,19400,White
